Parameter,Parameter Code
EC3 CSN_rev Unadjusted PM10 LC,85385
EC3 CSN_rev Unadjusted PM10-2.5 LC,86385
EC3 PM2.5 LC,88331
EH IMPROVE PM2.5 LC,88323
Elapsed Sample Time,68109
Elemental Carbon Extinction PM2.5 LC,88343
Elemental Carbon PM10 STP,82307
Endosulfan,43157
Endosulfan 1 (alpha),43175
Endosulfan 2,43163
Endosulfan sulfate,43168
Endrin,43164
Endrin aldehyde,43161
Endrin ketone,43152
Epichlorohydrin,43607
Epichlorohydrin(DUP),16901
Ethane,43202
Ethane & acetylene,43599
Ethyl acetate,43209
Ethyl acrylate,43438
Ethyl alcohol,43302
Ethyl bromide,43862
Ethyl methacrylate,43442
Ethyl methanesulfonate  (TSP) STP,16781
Ethylbenzene,45203
Ethylcyclohexane,43296
Ethylene,43203
Ethylene & acetylene,43126
Ethylene dibromide,43843
Ethylene dichloride,43815
Ethylene oxide,43601
Ethyne & isobutane,43340
Europium (TSP) STP,12121
Europium PM2.5 LC,88121
Fluoranthene (TSP) STP,17201
Fluorene (TSP) STP,17149
Fluoride (TSP) STP,12202
Fluoride (paper samplers),12209
Fluoride (precip),65315
Fluoride (vegation),12208
Fluoride PM10 STP,82202
Fluoride ion,42513
Formaldehyde,43502
Freon 113,43207
Freon 114,43208
Freon 23,43849
"Furan, tetrahydro-",46401
Galactosan PM2.5 LC,88392
Gallium (PM10),83130
Gallium (TSP) LC,14124
Gallium (TSP) STP,12124
Gallium PM10 LC,85124
Gallium PM10 STP,82124
Gallium PM2.5 LC,88124
Germanium (TSP) LC,14125
Germanium (TSP) STP,12125
Germanium PM10 LC,85125
Germanium PM2.5 LC,88125
Gold (TSP) LC,14143
Gold (TSP) STP,12143
Gold PM10 LC,85143
Gold PM2.5 LC,88143
Guthion,43154
Hafnium (TSP) STP,12127
Hafnium PM2.5 LC,88127
Halocarbon 134a,43848
Heptachlor,43170
Heptachlor epoxide,43151
Heptachlorobiphenyl (TSP) STP,17815
Heptanal,43950
Heptane,43264
Hexachlorobenzene (TSP) STP,17804
Hexachlorobiphenyl (TSP) STP,17814
Hexachlorobutadiene,43844
Hexachlorobutadiene  (TSP) STP,16782
Hexachlorocyclopentadiene (TSP) STP,16826
Hexachloroethane (TSP) STP,16807
Hexachloropropene  (TSP) STP,16783
Hexamethylene diisocyanate,16714
Hexanaldehyde,43517
Hydrobromic acid,42301
Hydrochloric acid,42302
Hydrofluoric acid,42303
Hydrogen PM2.5 LC,88337
Hydrogen cyanide,42607
Hydrogen ion conc (TSP) STP,12602
Hydrogen sulfide,42402
Hydronium ion,42304
Indan,43952
"Indeno[1,2,3-cd] pyrene PM10 STP",82243
"Indeno[1,2,3-cd]pyrene (TSP) STP",17243
Indium (PM10),83129
Indium (TSP) LC,14131
Indium (TSP) STP,12131
Indium PM10 STP,82131
Indium PM10-2.5 LC,86131
Indium PM2.5 LC,88131
Indium Pm10 Lc,85131
Indoor Temperature,62107
Infrared PM 2.5 Carbon at 950 nm,88364
Infrared Radiation,63303
Inorganic Fractn (SP),21113
Iodide (TSP) STP,12204
Iridium (TSP) STP,12133
Iridium PM2.5 LC,88133
Iron (SP),22126
Iron (TSP) LC,14126
Iron (TSP) STP,12126
Iron (precip),65334
Iron - 56 (TSP),11350
Iron - 57 (TSP),11358
Iron PM10 LC,85126
Iron PM10 STP,82126
Iron PM10-2.5 LC,86126
Iron PM10-2.5 STP,83126
Iron PM2.5 LC,88126
Iron PM2.5 STP,84126
Isobutane,43214
Isobutene,43270
Isobutene & 1-butene,43127
Isobutyraldehyde,43512
Isodrin  (TSP) STP,16784
Isomers of dodecane,43111
Isomers of ethyltoluene,45104
Isomers of pentene,43121
Isopentane,43221
Isopentane & cyclopentane,43341
Isophorone (TSP) STP,16914
Isoprene,43243
Isopropylbenzene,45210
Isosafrole  (TSP) STP,16785
Isovaleraldehyde,43513
Lanthanum (PM10),83147
Lanthanum (TSP) STP,12146
Lanthanum PM10 STP,82146
Lanthanum PM2.5 LC,88146
Lapse Rate,61202
Lead (SP),22128
Lead (TSP) LC,14129
Lead (TSP) LC Non-FRM/FEM,14128
Lead (TSP) STP,12128
Lead (precip),65337
Lead - 208 (TSP),11351
Lead PM10 LC,85128
Lead PM10 LC FRM/FEM,85129
Lead PM10 STP,82128
Lead PM10-2.5 LC,86128
Lead PM10-2.5 STP,83128
Lead PM2.5 LC,88128
Lead PM2.5 STP,84128
Lead-210 (TSP) STP,12129
Levoglucosan PM2.5 LC,88390
Light Absorption Coeffiecient,63102
Light scatter,11203
Light scatter (miles visibility),11207
Light scatter (ug/m3),11206
Limonene,43255
Lindane,43137
Magnesium (TSP) LC,14140
Magnesium (TSP) STP,12140
Magnesium (precip),65313
Magnesium PM10 LC,85140
Magnesium PM10 STP,82140
Magnesium PM10-2.5 LC,86140
Magnesium PM2.5 LC,88140
Malathion,43169
Manganese (SP),22132
Manganese (TSP) LC,14132
Manganese (TSP) STP,12132
Manganese (precip),65335
Manganese - 55 (TSP),11352
Manganese PM10 LC,85132
Manganese PM10 STP,82132
Manganese PM10-2.5 LC,86132
Manganese PM10-2.5 STP,83132
